n,arctan2,hypot
1,2.5102e-05,2.4606e-05
2,2.6104000000000003e-05,2.4834000000000003e-05
4,2.7093000000000003e-05,2.5179e-05
8,2.9234e-05,2.6188e-05
16,3.3185e-05,2.7994000000000003e-05
32,4.2357e-05,3.1686e-05
64,6.0354000000000005e-05,3.8994e-05
128,0.00010232100000000001,5.742500000000001e-05
256,0.000169662,8.613300000000001e-05
512,0.00032863900000000004,0.000149302
1024,0.0006087060000000001,0.000267718
2048,0.001175473,0.000502474
4096,0.002297509,0.0009708160000000001
8192,0.004581565,0.0019006630000000001
16384,0.009177554000000001,0.003781851
32768,0.018457112,0.007549687
65536,0.038632059,0.016447793000000002
131072,0.078557664,0.03414898
262144,0.15563986800000001,0.066386131
524288,0.308825579,0.133839477
1048576,0.7053484040000001,0.27659293300000004
2097152,1.239241311,0.541132144
4194304,2.55133555,1.111057992
8388608,5.06683007,2.156743205
16777216,10.324677472000001,39.619980799000004
