n,copysign,nextafter,ldexp,fmod
1,2.7117e-05,2.7704e-05,6.6963e-05,2.8973000000000002e-05
2,2.716e-05,2.7945e-05,6.6495e-05,2.8634e-05
4,2.6837e-05,2.8049000000000002e-05,6.6659e-05,2.9126000000000002e-05
8,2.7166e-05,2.8557e-05,6.632400000000001e-05,2.9283e-05
16,2.7178000000000003e-05,2.9256000000000002e-05,6.7332e-05,2.9776e-05
32,2.7283000000000003e-05,3.0797000000000003e-05,6.8979e-05,3.0917e-05
64,2.78e-05,3.4225000000000005e-05,7.147700000000001e-05,3.3502e-05
128,3.3664e-05,4.5878000000000004e-05,8.270200000000001e-05,3.7668e-05
256,3.6111e-05,5.9739000000000005e-05,9.295700000000001e-05,5.2517000000000006e-05
512,4.4111000000000005e-05,9.0591e-05,0.000118444,7.5148e-05
1024,5.5071e-05,0.00014682600000000002,0.000162986,0.000113678
2048,8.5674e-05,0.000258054,0.000252524,0.00019478
4096,0.000121967,0.000480355,0.00042112000000000003,0.00036507600000000004
8192,0.000202737,0.000916797,0.0007659250000000001,0.0006976840000000001
16384,0.000482004,0.0018375050000000001,0.0014564130000000002,0.0013528280000000001
32768,0.001177371,0.003583269,0.002874685,0.0027127640000000003
65536,0.0037312390000000003,0.008461670000000001,0.006973668000000001,0.005454817000000001
131072,0.007123761,0.0170216,0.013905139,0.012043454
262144,0.014338209000000001,0.034002564,0.028159922,0.023433541000000002
524288,0.028760816,0.06853055300000001,0.055604372000000006,0.047186765000000006
1048576,0.057187605,0.143878756,0.11257225900000001,0.09455518
2097152,0.11276358,0.28167010400000003,0.22741200900000003,0.19250086100000002
4194304,0.234943438,0.602452202,0.5142946270000001,0.388499048
8388608,0.722972393,1.4268361010000001,1.099731752,0.7990281530000001
16777216,36.400569045000005,11.835910041,14.869824517000001,10.80904802
