n,logical_not
1,2.5077e-05
2,2.5280000000000002e-05
4,2.5382000000000002e-05
8,2.5382000000000002e-05
16,2.544e-05
32,2.5541e-05
64,2.5988000000000003e-05
128,2.6526000000000003e-05
256,2.8723000000000003e-05
512,3.4853e-05
1024,4.5708000000000004e-05
2048,6.0135000000000006e-05
4096,9.006300000000001e-05
8192,0.00015761
16384,0.00028669400000000004
32768,0.000541373
65536,0.001057383
131072,0.0024800670000000003
262144,0.004669205
524288,0.010319227
1048576,0.021291803
2097152,0.044667215
4194304,0.090313839
8388608,0.17676418300000002
16777216,0.365709502
